ur,eta,xi
1.0,0.00037831974838573035,0.016615309789762063
1.1,0.0004721906889728171,0.01768313732411508
1.2000000000000002,0.0005766170237970526,0.020625157600775032
1.3000000000000003,0.0006665389796535262,0.02487332828327274
1.4000000000000004,0.0008358760169198121,0.030178910550542712
1.5000000000000004,0.000978854814137342,0.03424242433372455
1.6000000000000005,0.0011116110345624763,0.03942298026012708
1.7000000000000006,0.0012601038747232021,0.04541053792987519
1.8000000000000007,0.001423781099052425,0.05105473038162629
1.9000000000000008,0.0015352619186652788,0.05700424949754785
2.000000000000001,0.0015178883864684772,0.062246253256729944
2.100000000000001,0.0014491407867288225,0.06574242992666822
2.200000000000001,0.0013765121333934593,0.0649928977946595
2.300000000000001,0.0013743392804194815,0.05715248334130241
2.4000000000000012,0.0013670426361445664,0.06807332088151484
2.5000000000000013,0.0014553667751697474,0.08301741273057123
2.6000000000000014,0.0018218366907320066,0.10422013421414035
2.7000000000000015,0.0025578912371596596,0.13435067477943874
2.8000000000000016,0.0033442118983697255,0.16315452269330347
2.9000000000000017,0.004330408987945206,0.18384232374248036
3.0000000000000018,0.005141229523937252,0.21287080331030186
3.100000000000002,0.005796014548071382,0.23622565416372576
3.200000000000002,0.006001486088622249,0.25458228710012154
3.300000000000002,0.006045021349385088,0.27613012364541645
3.400000000000002,0.006343468959421755,0.3092027276298003
3.500000000000002,0.007342406980291538,0.35007393987682717
3.6000000000000023,0.009422542752766688,0.3987784654096242
3.7000000000000024,0.012721009770025271,0.47668278454470026
3.8000000000000025,0.01845538469317126,0.5982081476099506
3.9000000000000026,0.023800803880815957,0.6720885158118439
4.000000000000003,0.027415817621015026,0.7312962903431608
4.100000000000003,0.054840357122759975,1.1551515568790445
4.200000000000003,0.05317192995588582,1.1725018876167155
4.3000000000000025,0.05254877855686357,1.1676441459551237
4.400000000000003,0.05126727553533095,1.1430016406426695
4.5000000000000036,0.04870187618929189,1.110180638678801
4.600000000000003,0.04759059782346309,1.079079164342542
4.700000000000003,0.04593658308476101,1.047510474457663
4.800000000000003,0.04372462341441985,1.0138842461338748
4.900000000000004,0.04139128167772188,0.978232675576168
5.0000000000000036,0.03940954399878904,0.9431938462120282
5.100000000000003,0.03725729575240344,0.9142785507992796
5.200000000000004,0.03462539060496783,0.8947607326458954
5.300000000000004,0.033048091309442196,0.8805937470154477
5.400000000000004,0.03212585250686084,0.8630684431368341
5.5000000000000036,0.030729507022018043,0.8383821213218966
5.600000000000004,0.029082311926207027,0.8093161705683452
5.700000000000005,0.02761201794003665,0.7805321784489284
5.800000000000004,0.02631025426946132,0.7548617781129289
5.900000000000004,0.025348754220166803,0.7329693215556804
6.000000000000004,0.024423981125372363,0.7144780334025311
6.100000000000005,0.02354629344690118,0.698740167993721
6.200000000000005,0.022743364829912238,0.685212298731348
6.300000000000004,0.022002692981822003,0.673250252471349
6.400000000000005,0.02133779072815989,0.6624970260035513
6.500000000000005,0.020716233972296716,0.6525355539256008
6.600000000000005,0.02013936561126406,0.643196099569535
6.700000000000005,0.01959360194262505,0.634350723508142
6.800000000000005,0.01906777468777554,0.6258342614334699
6.900000000000006,0.018566150382275604,0.6176507204261954
7.000000000000005,0.018084202101950497,0.6096874815701047
7.100000000000005,0.017631372991327332,0.6019647504380956
7.2000000000000055,0.01720261139177337,0.5944627426218294
7.300000000000006,0.016801890173642864,0.5871733550684554
7.400000000000006,0.01642286732372278,0.580033303715436
7.500000000000005,0.016071300729312954,0.5731106085730244
7.600000000000006,0.015748896271760904,0.5664039422828505
7.700000000000006,0.015448168262110373,0.5598786725380291
7.800000000000006,0.01516223078133927,0.5535809664056379
7.900000000000006,0.01490399684979371,0.5474668638496365
8.000000000000007,0.014659434573858876,0.5416380347346443
8.100000000000007,0.014436969712317449,0.5359454562860553
8.200000000000006,0.014225703810438972,0.5304946419754849
8.300000000000006,0.014021989631210818,0.5251639060085962
8.400000000000006,0.013836323349011304,0.5200302682847427
8.500000000000007,0.013651884522811075,0.5151424531998631
8.600000000000007,0.013489940370073228,0.5105352194736652
8.700000000000006,0.01333747560335552,0.5061527701913144
8.800000000000008,0.013169490965188713,0.5019502366023969
8.900000000000007,0.013024427618859802,0.49789961925074633
9.000000000000007,0.012880621419222527,0.49405856929614067
9.100000000000007,0.012743965224961018,0.490335515941538
9.200000000000006,0.012611154545273395,0.48678595369251215
9.300000000000008,0.012480842879275755,0.48338440315762066
9.400000000000007,0.012355942439438605,0.4801357881956413
9.500000000000007,0.012235392071702211,0.4770176138142854
9.600000000000009,0.012117000201509631,0.4740445797471912
9.700000000000008,0.012003046189968725,0.47120004114242453
9.800000000000008,0.011892533526418614,0.46847856612380956
9.900000000000007,0.011785237915623581,0.4658774156618082
10.000000000000007,0.01168299163424047,0.46339260594583076
10.100000000000009,0.011581873295874567,0.46100268574473297
10.200000000000008,0.011484058109527684,0.4587230947562845
10.300000000000008,0.011389369381701542,0.4565482052152168
10.40000000000001,0.011297632897889098,0.4544505848021757
10.500000000000009,0.011209228183923337,0.45244140046811165
10.600000000000009,0.011122230672475641,0.4505160664401894
10.700000000000008,0.011040309933435744,0.4486593276178932
10.800000000000008,0.01095941537519085,0.44687748429452334
10.90000000000001,0.010881543932638849,0.44517370670353945
11.000000000000009,0.010806571596299719,0.44353818209026147
11.100000000000009,0.01073401595790191,0.441968175861497
11.20000000000001,0.01066422633816666,0.4404588220019671
11.30000000000001,0.01059630877161144,0.4390060322925179
11.40000000000001,0.010531553074849764,0.43758937916631707
11.500000000000009,0.010467465726075265,0.43626271165490815
